locate,symbol,reason
403,ANH-A,NOT_NASDAQ_LISTED
404,ANH-B,NOT_NASDAQ_LISTED
405,ANH-C,NOT_NASDAQ_LISTED
406,ANIK,FIRST_ADD_PRICE_BELOW_FLOOR
407,ANIP,FIRST_ADD_PRICE_BELOW_FLOOR
409,ANSS,FIRST_ADD_PRICE_BELOW_FLOOR
410,ANTE,NOT_COMMON_STOCK
411,ANTM,NOT_NASDAQ_LISTED
413,AOA,NOT_NASDAQ_LISTED
415,AOD,NOT_NASDAQ_LISTED
416,AOIL,NOT_NASDAQ_LISTED
417,AOK,NOT_NASDAQ_LISTED
418,AOM,NOT_NASDAQ_LISTED
419,AON,NOT_NASDAQ_LISTED
420,AOR,NOT_NASDAQ_LISTED
421,AOS,NOT_NASDAQ_LISTED
423,AP,NOT_NASDAQ_LISTED
424,APA,NOT_NASDAQ_LISTED
425,APAM,NOT_NASDAQ_LISTED
426,APC,NOT_NASDAQ_LISTED
427,APD,NOT_NASDAQ_LISTED
428,APDN,FIRST_ADD_PRICE_BELOW_FLOOR
429,APDNW,NOT_COMMON_STOCK
433,APH,NOT_NASDAQ_LISTED
434,APHA,NOT_NASDAQ_LISTED
435,APLE,NOT_NASDAQ_LISTED
437,APLT,FIRST_ADD_PRICE_BELOW_FLOOR
438,APM,NOT_COMMON_STOCK
439,APO,NOT_NASDAQ_LISTED
440,APO-A,NOT_NASDAQ_LISTED
441,APO-B,NOT_NASDAQ_LISTED
442,APOG,FIRST_ADD_PRICE_BELOW_FLOOR
443,APOP,NOT_COMMON_STOCK
444,APOPW,NOT_COMMON_STOCK
448,APRN,NOT_NASDAQ_LISTED
449,APT,NOT_NASDAQ_LISTED
451,APTS,NOT_NASDAQ_LISTED
452,APTV,NOT_NASDAQ_LISTED
454,APU,NOT_NASDAQ_LISTED
455,APVO,FIRST_ADD_PRICE_BELOW_FLOOR
456,APWC,NOT_COMMON_STOCK
457,APY,NOT_NASDAQ_LISTED
459,AQ,NOT_NASDAQ_LISTED
462,AQN,NOT_NASDAQ_LISTED
463,AQNA,NOT_NASDAQ_LISTED
464,AQNB,NOT_NASDAQ_LISTED
465,AQST,FIRST_ADD_PRICE_BELOW_FLOOR
466,AQUA,NOT_NASDAQ_LISTED
467,AQXP,FIRST_ADD_PRICE_BELOW_FLOOR
468,AR,NOT_NASDAQ_LISTED
469,ARA,NOT_NASDAQ_LISTED
470,ARAV,FIRST_ADD_PRICE_BELOW_FLOOR
