delay_ms,horizon_ms,cost_regime,observations,decision_rows_total,decision_rows_with_zero_or_missing_imbalance,observations_decision_state_valid,arrival_missing,future_missing,mean_gross_markout_bps,mean_markout_long_bps,mean_markout_short_bps,mean_cross_to_cross_bps,mean_known_cost_bps,mean_cost_adjusted_bps,median_cost_adjusted_bps,prob_adjusted_positive,representative_order_shares,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,label
10,500,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.878609786487337,-2.911161434606277,-2.912335818438194,-2.894327284390497,3.4888099985638905,-6.3674197850512275,-4.914850541936641,0.002008198755136425,100.0,0.15540901528249917,-6.684303204582772,-6.083465748470447,IDEALIZED_REFERENCE_EXECUTION
10,1000,structural_floor,2458313,2691000,232578,2458422,0,109,-2.8553727565700475,-2.91158906857131,-2.9120011059727062,-2.8816084056102103,1.7006892653781494,-4.556062021948197,-3.3408627716006087,0.009077363216156771,100.0,0.09990131208824624,-4.762752442417308,-4.369524193005397,IDEALIZED_REFERENCE_EXECUTION
10,1000,accessible_fixed,2458313,2691000,232578,2458422,0,109,-2.8553727565700475,-2.91158906857131,-2.9120011059727062,-2.8816084056102103,4.825469783303144,-7.6808425398731925,-6.002060099330796,0.003121246155391929,100.0,0.19818733723580365,-8.092525196679604,-7.310009047460412,IDEALIZED_REFERENCE_EXECUTION
10,1000,accessible_tiered,2458313,2691000,232578,2458422,0,109,-2.8553727565700475,-2.91158906857131,-2.9120011059727062,-2.8816084056102103,3.48881052280918,-6.344183279379227,-4.864769623196045,0.004082474444873374,100.0,0.1487842703153738,-6.661230473354281,-6.070107720904,IDEALIZED_REFERENCE_EXECUTION
25,100,structural_floor,2458422,2691000,232578,2458422,0,0,-2.9029009206338245,-2.910749304351997,-2.910949032236906,-2.9068728978359273,1.7006890714650762,-4.603589992098901,-3.3536507433787897,0.0009660668510125601,100.0,0.10221987738949417,-4.801429284448963,-4.403719414410637,IDEALIZED_REFERENCE_EXECUTION
25,100,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.9029009206338245,-2.910749304351997,-2.910949032236906,-2.9068728978359273,4.82546915727224,-7.728370077906063,-6.015193936961807,0.00032256463699072006,100.0,0.2066485370684132,-8.147682163233723,-7.327798372411619,IDEALIZED_REFERENCE_EXECUTION
25,100,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.9029009206338245,-2.910749304351997,-2.910949032236906,-2.9068728978359273,3.48881009691472,-6.391711017548544,-4.972655986737496,0.0004214085295364262,100.0,0.15429805016228182,-6.6967437282029705,-6.08977927646833,IDEALIZED_REFERENCE_EXECUTION
25,250,structural_floor,2458422,2691000,232578,2458422,0,0,-2.892577382566945,-2.9096104017437376,-2.9120879348451654,-2.9017418980443073,1.7006890714650762,-4.593266454032021,-3.350364776939149,0.002288053068187642,100.0,0.10005751947413491,-4.788810993125974,-4.408995312397279,IDEALIZED_REFERENCE_EXECUTION
25,250,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.892577382566945,-2.9096104017437376,-2.9120879348451654,-2.9017418980443073,4.82546915727224,-7.718046539839184,-6.012872002710256,0.0007761076007292483,100.0,0.20089689334624097,-8.127364768694115,-7.352846916341108,IDEALIZED_REFERENCE_EXECUTION
25,250,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.892577382566945,-2.9096104017437376,-2.9120879348451654,-2.9017418980443073,3.48881009691472,-6.381387479481664,-4.947703576291098,0.0010234207145884636,100.0,0.15035610159858265,-6.6846664324764795,-6.099504337860928,IDEALIZED_REFERENCE_EXECUTION
