date,scope,symbol,locate,messages,duplicate_check_applied,duplicates_adjacent,duplicates_within_bucket,timestamp_reversals,max_reversal_ns,identical_timestamp_messages,messages_late_after_decision,exact_duplicates_within_bucket_full_tape,tuple_key_repeats_adjacent,receive_clock_present,sequence_number_present,channel_field_present
2019-07-30,DEV_SCOPE,HAS,3617,111017,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1892,0,,,false,false,false
2019-07-30,DEV_SCOPE,MCHP,4991,227902,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2520,0,,,false,false,false
2019-07-30,DEV_SCOPE,ADI,94,323053,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2020,0,,,false,false,false
2019-07-30,DEV_SCOPE,UAL,8014,166434,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2599,0,,,false,false,false
2019-07-30,DEV_SCOPE,IPGP,4212,87130,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1616,0,,,false,false,false
2019-07-30,DEV_SCOPE,MRVL,5273,369599,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7284,0,,,false,false,false
2019-07-30,DEV_SCOPE,MAR,4953,187486,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2025,0,,,false,false,false
2019-07-30,DEV_SCOPE,SIRI,7163,138374,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,5643,0,,,false,false,false
2019-07-30,DEV_SCOPE,FANG,2730,88732,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2366,0,,,false,false,false
2019-07-30,DEV_SCOPE,SPLK,7358,92231,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2704,0,,,false,false,false
2019-07-30,DEV_SCOPE,XEL,8665,358594,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3703,0,,,false,false,false
2019-07-30,DEV_SCOPE,STNE,7498,98667,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3507,0,,,false,false,false
2019-07-30,DEV_SCOPE,AAL,7,308947,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,7803,0,,,false,false,false
2019-07-30,DEV_SCOPE,AKAM,250,165324,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2471,0,,,false,false,false
2019-07-30,DEV_SCOPE,AMTD,379,211355,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3867,0,,,false,false,false
