locate,symbol,market_category,issue_classification,dollar_volume_usd,shares_traded,trade_count,cross_messages,median_trade_price_usd,price_ok,median_dollar_volume,liquidity_rank_all_eligible,liquidity_rank,in_liquidity_decile,reason_code,proxy_status,reporting_only
1486,CLDX,S,C,36525.475,16461,159,2,2.22,True,36525.475,1775,1743,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1488,CLFD,G,C,285738.93,21970,114,2,13.0,True,285738.93,1241,1236,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1493,CLIR,S,C,21031.545,16763,54,2,1.25,True,21031.545,1910,1856,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1499,CLNE,Q,C,419477.615,157276,822,2,2.665,True,419477.615,1153,1149,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1509,CLPS,G,C,9227.28,1712,24,2,5.41,True,9227.28,2058,1971,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1511,CLRB,S,C,236202.5,105278,283,2,2.2,True,236202.5,1289,1284,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1515,CLRO,S,C,3405.98,1639,16,2,2.08,True,3405.98,2169,2064,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1517,CLSD,G,C,29453.73,26066,170,2,1.13,True,29453.73,1846,1800,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1518,CLSN,S,C,31328.87,17719,123,2,1.77,True,31328.87,1821,1779,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1520,CLUB,G,C,47160.06,30102,320,2,1.57,True,47160.06,1709,1680,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1521,CLVS,Q,C,3960453.995,359607,3904,2,11.05,True,3960453.995,518,517,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1525,CLXT,G,C,87262.33,9204,148,2,9.5,True,87262.33,1551,1535,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1533,CMCO,Q,C,2130243.035,54515,808,2,39.16,True,2130243.035,695,693,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1534,CMCSA,Q,C,84189021.185,1913845,12726,2,43.98,True,84189021.185,42,42,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1535,CMCT,G,C,24760.41,1201,28,2,20.74,True,24760.41,1878,1828,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1539,CME,Q,C,79481725.29,400986,6976,2,198.06,True,79481725.29,49,49,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1541,CMFN,Q,C,132541.45,17908,162,2,7.4,True,132541.45,1442,1432,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
1545,CMLS,G,C,185173.13,12269,193,2,15.16,True,185173.13,1361,1355,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
